,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
426,SW08907C000,GOWRI'S GLOBAL MARKETING PTE. LTD.,na,555,1,2,UPPER JURONG ROAD,638368,-1,555 UPPER JURONG ROAD,"Upper Jurong Road, Jurong West, Southwest, 627844, Singapore"
427,C85274C000,NTUC Fairprice Co-operative Ltd,na,BLK 345,1,29,JURONG EAST STREET 31,600345,0,BLK 345 JURONG EAST STREET 31,
428,J02009N000,SHENG SIONG SUPERMARKET PTE LTD,na,544,1,97/99,JURONG WEST STREET 42,640544,2,544 JURONG WEST STREET 42,"544, Jurong West Street 42, Jurong West, Southwest, 640502, Singapore"
429,SW12H20A000,NTUC Fairprice Co-operative Ltd,#01-434/436/438,498,na,0,JURONG WEST STREET 41,640498,0,498 JURONG WEST STREET 41,"Sunnyvale Clinic & Surgery, 498, Jurong West Street 41, Jurong West, Southwest, 640498, Singapore"
430,J02013A000,NTUC Fairprice Co-operative Ltd,BOON LAY SHOPPING CENTRE,221,2,200,BOON LAY PLACE,640221,0,221 BOON LAY PLACE,"POSB, 221, Boon Lay Place, Jurong West, Southwest, 640221, Singapore"
431,J02016P000,NG TOH TET,na,442,1,756,JURONG WEST AVENUE 1,640442,-1,442 JURONG WEST AVENUE 1,"442, Jurong West Avenue 1, Jurong West, Southwest, 640456, Singapore"
432,J03056N000,COLD STORAGE SINGAPORE (1983) PTE LTD,#01-24/26/28,492,na,0,JURONG WEST STREET 41,640492,1,492 JURONG WEST STREET 41,"Jurong West Post Office, 492, Jurong West Street 41, Jurong West, Southwest, 640492, Singapore"
433,C02037L000,NTUC Fairprice Co-operative Ltd,na,135,1,337,JURONG EAST STREET 13,600135,0,135 JURONG EAST STREET 13,"UOB, 135, Jurong East Street 13, Jurong East, Southwest, 600135, Singapore"
434,SW13W88P000,ISETAN (SINGAPORE) LIMITED?,WESTGATE,3,B2,1,GATEWAY DRIVE,608532,-1,3 GATEWAY DRIVE,"3, Gateway Drive, Grasmere, Todt Hill, Richmond County, NYC, New York, 10304, USA"
435,SW14826C000,BIG BOX SINGAPORE PTE. LTD.,BIG BOX,1,1,12,VENTURE AVENUE,608521,-1,1 VENTURE AVENUE,"Big Box, 1, Venture Avenue, Jurong East, Southwest, 608521, Singapore"
436,SW13T12J000,NTUC Fairprice Co-operative Ltd,JEM,50,B1,21/22,JURONG GATEWAY ROAD,608549,0,50 JURONG GATEWAY ROAD,"Robinsons, 50, Jurong Gateway Road, Jurong East, Southwest, 608549, Singapore"
437,C02051P000,ONE EIGHT SHOP PTE. LTD.,(PART OF) - LEFT SIDE,104,1,110,JURONG EAST STREET 13,600104,-1,104 JURONG EAST STREET 13,"104, Jurong East Street 13, Jurong East, Southwest, 609647, Singapore"
438,C02036N000,NTUC Fairprice Co-operative Ltd,BUKIT TIMAH PLAZA,1,LG,1,JALAN ANAK BUKIT,588996,0,1 JALAN ANAK BUKIT,"DBS, 1, Jalan Anak Bukit, Bukit Timah, Northwest, 588996, Singapore"
439,C02026X000,COLD STORAGE SINGAPORE (1983) PTE LTD,IMM BUILDING,2,1,100,JURONG EAST STREET 21,609601,1,2 JURONG EAST STREET 21,"UOB, 2, Jurong East Street 21, Jurong East, Southwest, 609601, Singapore"
440,SW07070J000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,284,1,251,BUKIT BATOK EAST AVENUE 3,650284,1,284 BUKIT BATOK EAST AVENUE 3,"Bread Garden, 284, Bukit Batok East Avenue 3, Bukit Gombak, Bukit Batok, Southwest, 650284, Singapore"
441,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,BEAUTY WORLD CENTRE,144,B1,1,UPPER BUKIT TIMAH ROAD,588177,1,144 UPPER BUKIT TIMAH ROAD,"Upper Bukit Timah Road, Bukit Gombak, Southwest, 678051, Singapore"
442,SW14017K000,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,"BLK 28, WESTLITE DORMITORY (TOH GUAN)",18,2,2,TOH GUAN ROAD EAST,608596,-1,18 TOH GUAN ROAD EAST,"Toh Guan Road East, Bukit Gombak, Bukit Batok, Southwest, 608831, Singapore"
443,SW06002X000,TAY CHONG BENG,na,19,1,65,TOH GUAN ROAD EAST,608568,-1,19 TOH GUAN ROAD EAST,"19, Toh Guan Road East, Bukit Batok, Southwest, 608567, Singapore"
444,SW13Q24X000,NTUC Fairprice Co-operative Ltd,na,280,1,315,BUKIT BATOK EAST AVENUE 3,650280,0,280 BUKIT BATOK EAST AVENUE 3,"UOB, 280, Bukit Batok East Avenue 3, Bukit Gombak, Bukit Batok, Southwest, 650280, Singapore"
445,SW14484J000,T S J INDUSTRIAL (S) PTE. LTD.,ENTERPRISE HUB,48,1,130,TOH GUAN ROAD EAST,608586,-1,48 TOH GUAN ROAD EAST,"UOB, 48, Toh Guan Road East, Bukit Batok, Southwest, 608586, Singapore"
446,SW08379J000,WONS BUTCHERY PTE. LTD.,GOH & GOH BUILDING,122,na,0,UPPER BUKIT TIMAH ROAD,588175,-1,122 UPPER BUKIT TIMAH ROAD,"Upper Bukit Timah Road, Bukit Gombak, Southwest, 678051, Singapore"
447,C64022P000,ZAC MEAT & POULTRY PTE LTD,HOOVER PARK,14,na,0,CHUN TIN ROAD,599601,-1,14 CHUN TIN ROAD,"14, Chun Tin Road, Bukit Batok, Southwest, 588216, Singapore"
448,SW04097K000,PRIME SUPERMARKET LIMITED?,na,159,1,178,BUKIT BATOK STREET 11,650159,3,159 BUKIT BATOK STREET 11,"159, Bukit Batok Street 11, Bukit Gombak, Bukit Batok, Southwest, 650159, Singapore"
449,C02046K000,COLD STORAGE SINGAPORE (1983) PTE LTD,WEST MALL,1,B1,1,BUKIT BATOK CENTRAL LINK,658713,1,1 BUKIT BATOK CENTRAL LINK,"West Mall, 1, Bukit Batok Central Link, Bukit Gombak, Bukit Batok, Southwest, 658713, Singapore"
450,C02104B000,NTUC Fairprice Co-operative Ltd,na,10,1,8,BUKIT BATOK CENTRAL,659958,0,10 BUKIT BATOK CENTRAL,"Bukit Batok Central, Bukit Gombak, Bukit Batok, Southwest, 650628, Singapore"
451,SW13126K000,BALU MINIMART PTE. LTD,"JURONG LODGE ONE , BLK A",501A,na,0,JURONG ROAD,649698,-1,501A JURONG ROAD,"Jurong Road, Bukit Gombak, Bukit Batok, Southwest, 649698, Singapore"
452,SW08821N000,NTUC Fairprice Co-operative Ltd,na,140,1,351,TECK WHYE LANE,680140,0,140 TECK WHYE LANE,"DBS, 140, Teck Whye Lane, Bukit Gombak, Southwest, 680140, Singapore"
